Unix,Date,Symbol,Open,High,Low,Close,Volume WAVES,Volume USDT,tradecount
1668816000000,2022-11-19,WAVESUSDT,2.355,2.368,2.282,2.354,1467468.39,3413476.47204,16022
1668729600000,2022-11-18,WAVESUSDT,2.31,2.398,2.306,2.358,2850553.4,6707432.52912,29905
1668643200000,2022-11-17,WAVESUSDT,2.349,2.395,2.253,2.311,3142143.2,7273842.66831,32384
1668556800000,2022-11-16,WAVESUSDT,2.32,2.615,2.259,2.35,7262116.74,17616718.77302,93317
1668470400000,2022-11-15,WAVESUSDT,2.271,2.35,2.235,2.321,3760562.98,8659287.33477,43674
1668384000000,2022-11-14,WAVESUSDT,2.245,2.331,2.06,2.27,6069329.9,13340759.52426,68265
1668297600000,2022-11-13,WAVESUSDT,2.235,2.525,2.203,2.247,9446797.24,22176483.65266,109982
1668211200000,2022-11-12,WAVESUSDT,2.38,2.383,2.199,2.237,2661215.92,6034376.74698,32222
1668124800000,2022-11-11,WAVESUSDT,2.522,2.546,2.254,2.378,4929999.33,11751116.9704,53328
1668038400000,2022-11-10,WAVESUSDT,2.117,2.598,2.075,2.526,9383073.08,22172142.99867,99009
1667952000000,2022-11-09,WAVESUSDT,2.748,2.756,2.047,2.12,7414228.37,18057158.46199,84109
1667865600000,2022-11-08,WAVESUSDT,3.35,3.382,2.297,2.746,8972986.38,26507261.213819,119359
1667779200000,2022-11-07,WAVESUSDT,3.342,3.414,3.263,3.35,2183199.11,7317645.46336,33195
1667692800000,2022-11-06,WAVESUSDT,3.557,3.611,3.316,3.343,3149158.96,11027035.03092,47113
1667606400000,2022-11-05,WAVESUSDT,3.537,3.769,3.47,3.558,10495169.36,38384672.86246,169238
1667520000000,2022-11-04,WAVESUSDT,3.315,3.569,3.285,3.537,4920386.52,17003076.16377,71923
1667433600000,2022-11-03,WAVESUSDT,3.217,3.477,3.2,3.314,4293076.65,14416394.46096,58438
1667347200000,2022-11-02,WAVESUSDT,3.372,3.374,3.151,3.217,2828686.93,9229613.5551,39341
