Unix,Date,Symbol,Open,High,Low,Close,Volume HOT,Volume USDT,tradecount
1626307200000,2021-07-15,HOTUSDT,0.005482,0.005566,0.005143,0.005239,1628330576.0,8639412.06521,27874
1626220800000,2021-07-14,HOTUSDT,0.005466,0.005553,0.005083,0.005484,1598018865.0,8529984.53635,30560
1626134400000,2021-07-13,HOTUSDT,0.005625,0.00567,0.005357,0.005462,1192068385.0,6584719.304842,22198
1626048000000,2021-07-12,HOTUSDT,0.00577,0.005828,0.005511,0.005621,1003743741.0,5699121.896777,19287
1625961600000,2021-07-11,HOTUSDT,0.005687,0.005846,0.005627,0.005761,905830580.0,5206585.885226,16565
1625875200000,2021-07-10,HOTUSDT,0.005806,0.005916,0.005555,0.005689,1173541706.0,6710327.434713,20274
1625788800000,2021-07-09,HOTUSDT,0.005748,0.005889,0.005464,0.005803,1503600490.0,8584980.042845,26024
1625702400000,2021-07-08,HOTUSDT,0.005988,0.00601,0.005672,0.00574,1753870741.0,10200927.334486,32747
1625616000000,2021-07-07,HOTUSDT,0.006029,0.00623,0.005955,0.005991,2249055154.0,13773467.984344,42491
1625529600000,2021-07-06,HOTUSDT,0.00596,0.0062,0.005926,0.006029,1918465459.0,11621658.830803,35624
1625443200000,2021-07-05,HOTUSDT,0.006171,0.006171,0.005844,0.005957,1692606785.0,10149594.595214,30881
1625356800000,2021-07-04,HOTUSDT,0.006063,0.006345,0.00594,0.006169,1642963055.0,10150710.964433,34695
1625270400000,2021-07-03,HOTUSDT,0.005883,0.0061,0.005865,0.006057,1645364063.0,9911894.636277,33666
1625184000000,2021-07-02,HOTUSDT,0.005881,0.005971,0.005693,0.005883,1359436818.0,7896828.880199,26630
1625097600000,2021-07-01,HOTUSDT,0.006132,0.006158,0.005762,0.005876,2095560814.0,12408224.283434,35360
1625011200000,2021-06-30,HOTUSDT,0.00625,0.006335,0.005753,0.006132,2383376861.0,14321082.882742,42606
1624924800000,2021-06-29,HOTUSDT,0.005953,0.006608,0.005931,0.006248,3412864742.0,21419968.222958,69693
1624838400000,2021-06-28,HOTUSDT,0.005915,0.006059,0.005807,0.005948,1994969695.0,11864218.190906,35694
1624752000000,2021-06-27,HOTUSDT,0.005649,0.00595,0.005541,0.005911,2255604216.0,12938815.104832,40999
1624665600000,2021-06-26,HOTUSDT,0.005561,0.005786,0.005315,0.005647,2073636302.0,11445983.0229,37063
1624579200000,2021-06-25,HOTUSDT,0.006094,0.006262,0.005401,0.005563,3075064037.0,17726769.486331,53784
1624492800000,2021-06-24,HOTUSDT,0.005928,0.0062,0.005682,0.006093,2388202696.0,14324699.540455,45445
1624406400000,2021-06-23,HOTUSDT,0.005457,0.0062,0.005205,0.005925,4312176024.0,25297892.59817,72783
1624320000000,2021-06-22,HOTUSDT,0.005968,0.006349,0.0048,0.005448,8681975499.0,48891245.263215,135941
1624233600000,2021-06-21,HOTUSDT,0.007439,0.007459,0.005903,0.005966,5000288625.0,33158669.620577,97036
1624147200000,2021-06-20,HOTUSDT,0.00701,0.007658,0.006628,0.007439,3161783853.0,22360148.702723,61536
1624060800000,2021-06-19,HOTUSDT,0.007205,0.007326,0.00695,0.007011,2057567487.0,14691355.650282,34664
1623974400000,2021-06-18,HOTUSDT,0.007687,0.007687,0.006885,0.007206,2229485946.0,16239157.252404,48299
1623888000000,2021-06-17,HOTUSDT,0.00775,0.007986,0.007518,0.007689,2027409256.0,15745902.205474,41776
1623801600000,2021-06-16,HOTUSDT,0.008063,0.008116,0.007663,0.007755,2196956508.0,17276035.077015,48368
1623715200000,2021-06-15,HOTUSDT,0.00829,0.008528,0.007971,0.008067,2732110569.0,22393525.187219,60552
1623628800000,2021-06-14,HOTUSDT,0.008205,0.008475,0.007942,0.008289,3587514702.0,29490140.406055,80674
1623542400000,2021-06-13,HOTUSDT,0.007355,0.008688,0.007272,0.008202,3919682213.0,31347165.933864,92384
1623456000000,2021-06-12,HOTUSDT,0.007524,0.007627,0.00713,0.007354,1887658185.0,13894299.679372,45025
1623369600000,2021-06-11,HOTUSDT,0.007845,0.008065,0.007359,0.00752,2222678235.0,17229215.400202,47246
1623283200000,2021-06-10,HOTUSDT,0.008237,0.008302,0.00774,0.007834,2440643403.0,19657172.576188,53144
1623196800000,2021-06-09,HOTUSDT,0.007951,0.008346,0.007564,0.008231,3459939771.0,27962284.001784,77702
1623110400000,2021-06-08,HOTUSDT,0.007787,0.008208,0.007,0.007943,4858867078.0,37320860.720613,108916
